Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.1,487602457.7,596423607.1,695304363,764887117.2,872138715.1,958463184.4,1082979721,1245688268,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,16701511670,17488216782,18535844610,20073248788,21865832568,23962869801,25885587653,28433089614,30701818463,34564497179,37543849118,41150457280,44566469569,58339180433,72708011831,77519768057,78014891586,87407257186,95931509758,1.1594E+11,1.51399E+11,1.57703E+11,1.50373E+11,1.58725E+11,1.47501E+11,1.2904E+11,1.46802E+11,1.79032E+11,1.89141E+11,1.94129E+11,2.12082E+11,2.20522E+11,2.19977E+11,2.20372E+11,2.24511E+11,2.52475E+11,2.5189E+11,2.64855E+11,2.49723E+11,2.46422E+11,2.67614E+11,2.41473E+11,2.47009E+11,3.2589E+11,4.048E+11,4.7051E+11,5.32139E+11,6.11562E+11,6.66291E+11,6.69233E+11,8.03689E+11,8.96256E+11,9.13197E+11,9.27655E+11,9.56319E+11,8.931E+11,8.54752E+11,9.62269E+11,9.84032E+11,9.77809E+11,8.98474E+11
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109225814,12439087077,15856574731,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008,19807067268
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10407321640,11131302981,11946843969,12680220415,13842621612,14866816737,15837474343,14430648807,14884699923,16887028428,23511477700,20838908163,25272340678,31282962686,44227412162,51459772973,62147555474,65334104528,71220525033,88654314398,1.12064E+11,2.11065E+11,1.87218E+11,1.38156E+11,1.14296E+11,1.16541E+11,1.07529E+11,1.10354E+11,1.08975E+11,1.01799E+11,1.21838E+11,1.17491E+11,1.18317E+11,97186773684,85693055814,1.07403E+11,1.19044E+11,1.19983E+11,1.22621E+11,1.30199E+11,1.3415E+11,1.41863E+11,1.70532E+11,1.97384E+11,2.45856E+11,3.02111E+11,3.84336E+11,4.51866E+11,5.53031E+11,4.92546E+11,5.80217E+11,6.58428E+11,7.16935E+11,8.07819E+11,8.46943E+11,7.57492E+11,6.87485E+11,6.80989E+11,7.38131E+11,7.92079E+11,7.86585E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5934073604,5553824464,5553824464,5787823809,6135166254,7558613008,7076793823,8089279285,8775116269,10207922517,11236275843,,,,3390500000,5561222222,7526963964,7649716157,6506619145,6152936539,9129634978,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,89417190341,62306913444
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199642580,2258515610,2545967253,3212119044,3480355189,3922099471,4348070165,5611492283,7184681399,8052075642,8896073938,10677321490,12881354104,12044223353,11926928506,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15286612573,14799615097
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35414383870,38885217056,43787656108,50670121242,60438068656,76481119525,1.44591E+11,1.60173E+11,1.98993E+11,2.29147E+11,2.51632E+11,3.40541E+11,4.60788E+11,4.75354E+11,4.46304E+11,4.19649E+11,4.25665E+11,4.21337E+11,4.02272E+11,4.2893E+11,4.21921E+11,4.42428E+11,6.12511E+11,4.24943E+11,4.54938E+11,4.6057E+11,4.73718E+11,5.17586E+11,5.67523E+11,6.11573E+11,5.90398E+11,6.56994E+11,7.56206E+11,7.31691E+11,7.32197E+11,8.11817E+11,9.65111E+11,1.18614E+12,1.40591E+12,1.63946E+12,2.08104E+12,1.79573E+12,2.11113E+12,2.49492E+12,2.76908E+12,2.84969E+12,2.88465E+12,2.51321E+12,2.46197E+12,2.51106E+12,2.758E+12,2.81118E+12,2.53019E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,4.21142E+11,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,16646599770,27786400318,47289600372,65193099976,48505749703,51169498444,56780999756,58082870734,69252330274,76961921891,78676840049,84307484568,1.03979E+11,79092000000,88416666667,1.10934E+11,1.11106E+11,1.26207E+11,76636898126,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.17627E+11,4.45445E+11,3.83067E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158,12645459214
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,641000000,638000000,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605351852,1661962963,1415059259
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,,,19892485161,21507447643,23764139321,25936835032,27268451114,30397580916,32665472057,36628961810,41271138985,45149512823,51967289720,63737347854,88831245394,97171924075,1.04921E+11,1.10202E+11,1.18339E+11,1.34712E+11,1.49776E+11,1.76642E+11,1.9377E+11,1.7703E+11,1.93242E+11,1.80235E+11,1.82037E+11,1.89062E+11,2.35658E+11,2.99272E+11,3.10781E+11,3.25316E+11,3.24884E+11,3.11549E+11,3.22214E+11,3.67216E+11,4.00303E+11,4.34568E+11,3.98899E+11,3.88608E+11,4.15223E+11,3.78376E+11,3.94649E+11,4.66488E+11,6.1249E+11,6.93408E+11,7.46054E+11,8.531E+11,1.054E+12,9.27805E+11,1.14614E+12,1.39665E+12,1.54615E+12,1.57618E+12,1.46748E+12,1.35169E+12,1.20885E+12,1.32919E+12,1.43288E+12,1.39657E+12,1.3309E+12
